player_name	position	team	median_rank	mean_rank	position_rank
Hunter Henry	TE	LAC	110.5	110.85365853658537	11
Eric Ebron	TE	DET	111.0	110.41975308641975	12
Jordan Matthews	WR	BUF	111.0	111.82716049382717	44
Darren McFadden	RB	DAL	112.0	125.52564102564102	41
Mike Wallace	WR	BAL	112.5	113.3048780487805	45
Andy Dalton	QB	CIN	115.0	117.25925925925925	16
Jack Doyle	TE	IND	116.0	120.17283950617283	13
Corey Coleman	WR	CLE	119.0	119.78048780487805	46
Adam Thielen	WR	MIN	119.5	115.34146341463415	47
John Brown	WR	ARI	119.5	120.7375	48
Rishard Matthews	WR	TEN	119.5	121.52439024390245	49
Duke Johnson	RB	CLE	120.0	120.5925925925926	42
Thomas Rawls	RB	SEA	121.0	122.19753086419753	43
Eli Manning	QB	NYG	121.0	125.18518518518519	17
C.J. Prosise	RB	SEA	122.5	126.78205128205128	44
Corey Davis	WR	TEN	123.5	127.4390243902439	50
Tyrod Taylor	QB	BUF	124.5	127.78048780487805	18
James White	RB	NE	128.0	131.88311688311688	45
Darren Sproles	RB	PHI	128.5	136.2948717948718	46
Marvin Jones	WR	DET	129.0	127.25	51
Samaje Perine	RB	WAS	129.0	130.05	47
Coby Fleener	TE	NO	129.0	135.72	14
Jacquizz Rodgers	RB	TB	130.0	135.4125	48
Carson Palmer	QB	ARI	130.5	132.925	19
Carson Wentz	QB	PHI	133.0	136.59493670886076	20
Jeremy Hill	RB	CIN	135.0	133.7594936708861	49
Denver Broncos	D/ST	Denver Broncos	135.0	147.1012658227848	1
Latavius Murray	RB	MIN	136.0	139.16455696202533	50
Ted Ginn	WR	NO	136.5	138.5897435897436	52
Jamaal Williams	RB	GB	139.0	139.57333333333332	51
Seattle Seahawks	D/ST	Seattle Seahawks	140.0	145.89333333333335	2
Zay Jones	WR	BUF	140.5	145.0921052631579	53
Houston Texans	D/ST	Houston Texans	142.0	146.92	3
Austin Hooper	TE	ATL	143.5	145.6891891891892	15
Jason Witten	TE	DAL	146.0	148.56410256410257	16
Robby Anderson	WR	NYJ	146.0	155.04347826086956	54
Giovani Bernard	RB	CIN	147.0	145.98684210526315	52
Jamaal Charles	RB	DEN	147.0	151.42465753424656	53
